title,price,rating,availability,category,source
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,Four,In stock,Science Fiction,Books to Scrape
Tuesday Nights in 1980,£21.04,Two,In stock,Fiction,Books to Scrape
Tracing Numbers on a Train,£41.60,Three,In stock,Default,Books to Scrape
Throne of Glass (Throne of Glass #1),£35.07,Three,In stock,Fantasy,Books to Scrape
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,One,In stock,History,Books to Scrape
Thirteen Reasons Why,£52.72,One,In stock,Default,Books to Scrape
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,Four,In stock,Childrens,Books to Scrape
The Wedding Dress,£24.12,One,In stock,Romance,Books to Scrape
The Vacationers,£42.15,Four,In stock,Fiction,Books to Scrape
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,Five,In stock,Business,Books to Scrape
The Stranger,£17.44,Four,In stock,Philosophy,Books to Scrape
The Shadow Hero (The Shadow Hero),£33.14,One,In stock,Sequential Art,Books to Scrape
The Secret (The Secret #1),£27.37,Four,In stock,Default,Books to Scrape
The Regional Office Is Under Attack!,£51.36,Five,In stock,Fiction,Books to Scrape
The Psychopath Test: A Journey Through the Madness Industry,£36.00,Two,In stock,Default,Books to Scrape
The Project,£10.65,One,In stock,Science Fiction,Books to Scrape
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,Two,In stock,Nonfiction,Books to Scrape
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,Two,In stock,Nonfiction,Books to Scrape
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,Five,In stock,Food and Drink,Books to Scrape
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock,Mystery,Books to Scrape
The Mistake (Off-Campus #2),£43.29,Three,In stock,New Adult,Books to Scrape
Learning Python,£12.00,One,In stock,Programming,OpenLibrary
Python,£99.00,Three,In stock,Programming,OpenLibrary
Python Cookbook,£39.00,Three,In stock,Programming,OpenLibrary
Fluent Python,£26.00,One,In stock,Programming,OpenLibrary
Black Hat Python: Python Programming for Hackers and Pentesters,£90.00,Five,In stock,Programming,OpenLibrary
Think Python,£17.00,Four,In stock,Programming,OpenLibrary
Python For Data Analysis,£61.00,Two,In stock,Programming,OpenLibrary
Programming Python,£54.00,Two,In stock,Programming,OpenLibrary
Data science from scratch,£44.00,Five,In stock,Programming,OpenLibrary
"Python Crash Course, 2nd Edition",£78.00,One,In stock,Programming,OpenLibrary
Automate the Boring Stuff with Python,£94.00,Five,In stock,Programming,OpenLibrary
Python crash course,£55.00,Five,In stock,Programming,OpenLibrary
Python,£22.00,Two,In stock,Programming,OpenLibrary
Core Python Programming,£42.00,Three,In stock,Programming,OpenLibrary
Core Python programming,£85.00,Three,In stock,Programming,OpenLibrary
Introduction to Machine Learning with Python,£77.00,Four,In stock,Programming,OpenLibrary
The Hidden Oracle,£60.00,Five,In stock,Programming,OpenLibrary
"Python Crash Course, 3rd Edition",£14.00,One,In stock,Programming,OpenLibrary
Python Data Science Handbook,£15.00,Two,In stock,Programming,OpenLibrary
The Burning Maze,£47.00,Four,In stock,Programming,OpenLibrary
My Favorite Animal,£89.00,Three,In stock,Programming,OpenLibrary
Data Science,£31.00,Three,In stock,Programming,OpenLibrary
Python,£18.00,One,In stock,Programming,OpenLibrary
Beginning Python,£12.00,Two,In stock,Programming,OpenLibrary
Python Playground,£27.00,Two,In stock,Programming,OpenLibrary
Head First Python,£59.00,Two,In stock,Programming,OpenLibrary
Python,£80.00,Five,In stock,Programming,OpenLibrary
Python! python!,£12.00,Five,In stock,Programming,OpenLibrary
Practical Statistics for Data Scientists: 50 Essential Concepts,£57.00,One,In stock,Programming,OpenLibrary
Python Distilled,£38.00,Five,In stock,Programming,OpenLibrary
Python Basics,£71.00,Three,In stock,Programming,OpenLibrary
Python for Everybody,£89.00,Four,In stock,Programming,OpenLibrary
Python Programming,£64.00,Five,In stock,Programming,OpenLibrary
Garden Planting Weekly,£60.00,Four,In stock,Programming,OpenLibrary
Python for dummies,£72.00,Two,In stock,Programming,OpenLibrary
Python,£60.00,One,In stock,Programming,OpenLibrary
Effective Python,£57.00,One,In stock,Programming,OpenLibrary
Django for Beginners,£63.00,One,In stock,Programming,OpenLibrary
Automate the Boring Stuff with Python,£88.00,Four,In stock,Programming,OpenLibrary
PYTHON Exercises,£40.00,Four,In stock,Programming,OpenLibrary
Starting out with Python,£96.00,Five,In stock,Programming,OpenLibrary
The Python Project,£60.00,Four,In stock,Programming,OpenLibrary
Python Basics,£18.00,Two,In stock,Programming,OpenLibrary
Python,£27.00,Five,In stock,Programming,OpenLibrary
Intro to Python,£32.00,Two,In stock,Programming,OpenLibrary
Deep Learning with Python,£19.00,Four,In stock,Programming,OpenLibrary
Python programming,£10.00,Five,In stock,Programming,OpenLibrary
Python for Geeks,£46.00,Three,In stock,Programming,OpenLibrary
Python Programming Crash Course,£78.00,One,In stock,Programming,OpenLibrary
Verdi,£79.00,Two,In stock,Programming,OpenLibrary
Python machine learning,£93.00,One,In stock,Programming,OpenLibrary
Python in a Nutshell,£80.00,Five,In stock,Programming,OpenLibrary
Python essential reference,£94.00,Four,In stock,Programming,OpenLibrary
Monty Python & the Holy Grail,£53.00,One,In stock,Programming,OpenLibrary
Python Programming,£62.00,One,In stock,Programming,OpenLibrary
Python for Beginners : 2 Books in 1,£80.00,Two,In stock,Programming,OpenLibrary
Data Structures and Algorithms in Python,£21.00,Three,In stock,Programming,OpenLibrary
Python All-in-One For Dummies,£19.00,Three,In stock,Programming,OpenLibrary
Python 201,£83.00,Three,In stock,Programming,OpenLibrary
Python Programming,£67.00,One,In stock,Programming,OpenLibrary
Python's Party,£24.00,Five,In stock,Programming,OpenLibrary
Introduction To Computation And Programming Using Python,£22.00,Four,In stock,Programming,OpenLibrary
Let Us Python,£75.00,Five,In stock,Programming,OpenLibrary
Python for Kids,£55.00,Three,In stock,Programming,OpenLibrary
Programming for Beginners : This Book Includes,£64.00,Four,In stock,Programming,OpenLibrary
Python Algorithms,£33.00,Two,In stock,Programming,OpenLibrary
Python Programming,£26.00,One,In stock,Programming,OpenLibrary
Python,£10.00,One,In stock,Programming,OpenLibrary
Monty Python's the meaning of life,£37.00,Three,In stock,Programming,OpenLibrary
"Bibliothèque romane de la Suisse; ou, Recueil de morceaux écrits en langue romane de la Suisse occidentale",£91.00,One,In stock,Programming,OpenLibrary
Starting Out with Python,£43.00,Three,In stock,Programming,OpenLibrary
Python scripts for Abaqus,£73.00,Five,In stock,Programming,OpenLibrary
Concetti di informatica e fondamenti di Python,£58.00,Four,In stock,Programming,OpenLibrary
Python,£83.00,Two,In stock,Programming,OpenLibrary
Password Book,£14.00,Two,In stock,Programming,OpenLibrary
Understanding coding with Python,£68.00,Four,In stock,Programming,OpenLibrary
Python,£10.00,Three,In stock,Programming,OpenLibrary
Monty Python's Big Red Book,£27.00,Four,In stock,Programming,OpenLibrary
Python,£84.00,Three,In stock,Programming,OpenLibrary
The Pythons' Autobiography by the Pythons,£68.00,Two,In stock,Programming,OpenLibrary
Python for bioinformatics,£73.00,One,In stock,Programming,OpenLibrary
Fundamentals of Python Programming,£45.00,One,In stock,Programming,OpenLibrary
Dive into Python,£86.00,Three,In stock,Programming,OpenLibrary
Python Tricks: A Buffet of Awesome Python Features,£93.00,Two,In stock,Programming,OpenLibrary
Python programming in context,£75.00,Four,In stock,Programming,OpenLibrary
Django for Professionals,£92.00,Four,In stock,Programming,OpenLibrary
Elements of programming interviews in Python,£10.00,Two,In stock,Programming,OpenLibrary
Python,£93.00,One,In stock,Programming,OpenLibrary
Life of Brian,£27.00,Two,In stock,Programming,OpenLibrary
Python beyond Python,£62.00,Four,In stock,Programming,OpenLibrary
The Pythons,£45.00,One,In stock,Programming,OpenLibrary
Python for Finance: Analyze Big Financial Data,£86.00,Three,In stock,Programming,OpenLibrary
Introducing Python,£87.00,Four,In stock,Programming,OpenLibrary
Python : Programming,£29.00,One,In stock,Programming,OpenLibrary
Learn Python-3,£57.00,Three,In stock,Programming,OpenLibrary
Foundations of Python network programming,£16.00,Three,In stock,Programming,OpenLibrary
Python NSI,£47.00,Three,In stock,Programming,OpenLibrary
Python Programming,£16.00,One,In stock,Programming,OpenLibrary
Natural Language Processing With Python,£36.00,Five,In stock,Programming,OpenLibrary
Python 3,£10.00,Five,In stock,Programming,OpenLibrary
تعلم البايثون للمبتدئين بالعربي,N/A,N/A,In stock,Computers,Google Books API
تعلم البرمجة مع بيثون 3,N/A,5,In stock,Computers,Google Books API
Monty Python's Flying Circus,N/A,4,In stock,Performing Arts,Google Books API
A Book about the Film Monty Python's The Meaning of Life,N/A,1,In stock,Performing Arts,Google Books API
A Book about the Film Monty Python's Life of Brian,N/A,N/A,In stock,Performing Arts,Google Books API
SPSS For Dummies,N/A,N/A,In stock,Mathematics,Google Books API
Programming Google App Engine,N/A,3,In stock,Computers,Google Books API
Smart Log Data Analytics,N/A,N/A,In stock,Computers,Google Books API
Nokia Smartphone Hacks,N/A,4,In stock,Computers,Google Books API
Continuum Encyclopedia of Animal Symbolism in World Art,N/A,3,In stock,Art,Google Books API
Convention on International Trade in Endangered Species of Wild Fauna and Flora,N/A,N/A,In stock,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Google Books API
Linux and Windows Interoperability Guide,N/A,N/A,In stock,Computers,Google Books API
Mobile Phone Programming,N/A,2,In stock,Technology & Engineering,Google Books API
IBM System Blue Gene Solution Blue Gene/Q Application Development,N/A,N/A,In stock,Computers,Google Books API
Porcupine in a Python’s Throat,N/A,N/A,In stock,Law,Google Books API
Monty Python's Tunisian Holiday,N/A,N/A,In stock,Biography & Autobiography,Google Books API
Occasional Publication - Royal Anthropological Institute of Great Britain and Ireland,N/A,N/A,In stock,Anthropology,Google Books API
Description of the Test Specimen of the Rostro-carinate Industry Found Beneath the Norwich Crag,N/A,N/A,In stock,Folklore,Google Books API
"Eastern Uganda, an Ethnological Survey",N/A,N/A,In stock,Social Science,Google Books API
Ikom Folk Stories from Southern Nigeria,N/A,N/A,In stock,Social Science,Google Books API
Occasional Paper,N/A,N/A,In stock,Anthropology,Google Books API
Pagan Races of the Malay Peninsula: pt. 3. Religion. pt. 4. Language. Appendix. Comparative vocabulary of aboriginal dialects. Index of subjects. Index of proper names. Index of native words,N/A,N/A,In stock,Ethnology,Google Books API
Pagan Races of the Malay Peninsula,N/A,N/A,In stock,Ethnology,Google Books API
The Reptiles of the Indo-Australian Archipelago,N/A,N/A,In stock,Reptiles,Google Books API
The Century Dictionary,N/A,N/A,In stock,N/A,Google Books API
The Century Dictionary and Cyclopedia: The Century dictionary ...,N/A,N/A,In stock,Atlases,Google Books API
Reptiles of the World,N/A,N/A,In stock,Reptiles,Google Books API
Zoologica,N/A,N/A,In stock,Zoology,Google Books API
The Reptiles of the Indo-Australian Archipelago: Ophidia,N/A,N/A,In stock,Reptiles,Google Books API
Village Folk-tales of Ceylon ...,N/A,N/A,In stock,Folklore,Google Books API
-3. An ethnographical survey of totemism (cont.),N/A,N/A,In stock,Endogamy and exogamy,Google Books API
Totemism and Exogamy,N/A,N/A,In stock,Endogamy and exogamy,Google Books API
Man,N/A,N/A,In stock,Anthropology,Google Books API
Harmsworth Natural History,N/A,N/A,In stock,Natural history,Google Books API
The Century Dictionary: The Century dictionary,N/A,N/A,In stock,Atlases,Google Books API
Journal of Tropical Medicine and Hygiene,N/A,N/A,In stock,Tropical medicine,Google Books API
Primary Plans,N/A,N/A,In stock,Education,Google Books API
"Commentary on books II-V: Corinth, Laconia, Messina, Elis",N/A,N/A,In stock,Greece,Google Books API
The Encyclopædia Britannica,N/A,N/A,In stock,Encyclopedias and dictionaries,Google Books API
"Burma, Its People and Productions, Or, Notes on the Fauna, Flora, and Minerals of Tenasserim, Pegu, and Burma: Geology, mineralogy, and zoology",N/A,N/A,In stock,Natural history,Google Books API
